index,Final_description
p02422,"
  write a program which performs a sequence of commands to a given string $str$. the command is one of:
 print a b: print from the a-th character to the b-th character of $str$ reverse a b: reverse from the a-th character to the b-th character of $str$ replace a b p: replace from the a-th character to the b-th character of $str$ with p 
  note that the indices of $str$ start with 0.
 

"
p02431,"
  for a dynamic array $a = \{a_0, a_1, ...\}$ of integers, perform a sequence of the following operations:
 pushback($x$): add element $x$ at the end of $a$ randomaccess($p$):print element $a_p$ popback(): delete the last element of $a$ 
  
$a$ is a 0-origin array and it is empty in the initial state.
 


"
p02447,"
  write a program which print coordinates $(x_i, y_i)$ of given $n$ points on the plane by the following criteria.
 first by $x$-coordinate in case of a tie, by $y$-coordinate 


"
p02534,"you are given an integer k.
print the string obtained by repeating the string acl k times and concatenating them. for example, if k = 3, print aclaclacl. 
"
p02536,"there are n cities numbered 1 through n, and m bidirectional roads numbered 1 through m.
road i connects city a_i and city b_i. snuke can perform the following operation zero or more times: choose two distinct cities that are not directly connected by a road, and build a new road between the two cities. after he finishes the operations, it must be possible to travel from any city to any other cities by following roads (possibly multiple times). what is the minimum number of roads he must build to achieve the goal? 
"
p02540,"there are n cities on a 2d plane. the coordinate of the i-th city is (x_i, y_i). here (x_1, x_2, \dots, x_n) and (y_1, y_2, \dots, y_n) are both permuations of (1, 2, \dots, n). for each k = 1,2,\dots,n, find the answer to the following question: rng is in city k.
rng can perform the following move arbitrarily many times: move to another city that has a smaller x-coordinate and a smaller y-coordinate, or a larger x-coordinate and a larger y-coordinate, than the city he is currently in. how many cities (including city k) are reachable from city k? "
p02546,"in the kingdom of atcoder, people use a language called taknese, which uses lowercase english letters. in taknese, the plural form of a noun is spelled based on the following rules: if a noun's singular form does not end with s, append s to the end of the singular form. if a noun's singular form ends with s, append es to the end of the singular form. you are given the singular form s of a taknese noun. output its plural form. 
"
p02547,"tak performed the following action n times: rolling two dice.
the result of the i-th roll is d_{i,1} and d_{i,2}. check if doublets occurred at least three times in a row.
specifically, check if there exists at lease one i such that d_{i,1}=d_{i,2}, d_{i+1,1}=d_{i+1,2} and d_{i+2,1}=d_{i+2,2} hold. 
"
p02548,"given is a positive integer n.
how many tuples (a,b,c) of positive integers satisfy a \times b + c = n? 
"
p02549,"there are n cells arranged in a row, numbered 1, 2, \ldots, n from left to right. tak lives in these cells and is currently on cell 1. he is trying to reach cell n by using the procedure described below. you are given an integer k that is less than or equal to 10, and k non-intersecting segments [l_1, r_1], [l_2, r_2], \ldots, [l_k, r_k].
let s be the union of these k segments.
here, the segment [l, r] denotes the set consisting of all integers i that satisfy l \leq i \leq r. when you are on cell i, pick an integer d from s and move to cell i + d. you cannot move out of the cells. to help tak, find the number of ways to go to cell n, modulo 998244353. 
"
p02550,"let us denote by f(x, m) the remainder of the euclidean division of x by m. let a be the sequence that is defined by the initial value a_1=x and the recurrence relation a_{n+1} = f(a_n^2, m).
find \displaystyle{\sum_{i=1}^n a_i}. 
"
p02552,"given is an integer x that is greater than or equal to 0, and less than or equal to 1.
output 1 if x is equal to 0, or 0 if x is equal to 1. 
"
p02553,"given are integers a,b,c and d.
if x and y are integers and a \leq x \leq b and c\leq y \leq d hold, what is the maximum possible value of x \times y? 
"
p02554,"how many integer sequences a_1,a_2,\ldots,a_n of length n satisfy all of the following conditions? 0 \leq a_i \leq 9 there exists some i such that a_i=0 holds. there exists some i such that a_i=9 holds. the answer can be very large, so output it modulo 10^9 + 7. 
"
p02555,"given is an integer s.
find how many sequences there are whose terms are all integers greater than or equal to 3, and whose sum is equal to s.
the answer can be very large, so output it modulo 10^9 + 7. 
"
p02556,"there are n points on the 2d plane, i-th of which is located on (x_i, y_i).
there can be multiple points that share the same coordinate.
what is the maximum possible manhattan distance between two distinct points? here, the manhattan distance between two points (x_i, y_i) and (x_j, y_j) is defined by |x_i-x_j| + |y_i-y_j|. 
"
p02558,"you are given an undirected graph with n vertices and 0 edges. process q queries of the following types. 0 u v: add an edge (u, v). 1 u v: print 1 if u and v are in the same connected component, 0 otherwise. 

"
p02559,"you are given an array a_0, a_1, ..., a_{n-1} of length n. process q queries of the following types. 0 p x: a_p \gets a_p + x 1 l r: print \sum_{i = l}^{r - 1}{a_i}. 

"
p02561,"you are given a grid of n rows and m columns. the square at the i-th row and j-th column will be denoted as (i,j).
some of the squares contain an object. all the remaining squares are empty.
the state of the grid is represented by strings s_1,s_2,\cdots,s_n. the square (i,j) contains an object if s_{i,j}= # and is empty if s_{i,j}= .. consider placing 1 \times 2 tiles on the grid. tiles can be placed vertically or horizontally to cover two adjacent empty squares.
tiles must not stick out of the grid, and no two different tiles may intersect. tiles cannot occupy the square with an object. calculate the maximum number of tiles that can be placed and any configulation that acheives the maximum. 
"
p02570,"takahashi is meeting up with aoki. they have planned to meet at a place that is d meters away from takahashi's house in t minutes from now. takahashi will leave his house now and go straight to the place at a speed of s meters per minute. will he arrive in time? 
"
p02571,"given are two strings s and t. let us change some of the characters in s so that t will be a substring of s. at least how many characters do we need to change? here, a substring is a consecutive subsequence. for example, xxx is a substring of yxxxy, but not a substring of xxyxx. 
"
p02572,"given are n integers a_1,\ldots,a_n. find the sum of a_i \times a_j over all pairs (i,j) such that 1\leq i &lt; j \leq n, modulo (10^9+7). 
"
p02573,"there are n persons called person 1 through person n. you are given m facts that ""person a_i and person b_i are friends."" the same fact may be given multiple times. if x and y are friends, and y and z are friends, then x and z are also friends. there is no friendship that cannot be derived from the m given facts. takahashi the evil wants to divide the n persons into some number of groups so that every person has no friend in his/her group. at least how many groups does he need to make? 
"
p02574,"we have n integers. the i-th number is a_i. \{a_i\} is said to be pairwise coprime when gcd(a_i,a_j)=1 holds for every pair (i, j) such that 1\leq i &lt; j \leq n. \{a_i\} is said to be setwise coprime when \{a_i\} is not pairwise coprime but gcd(a_1,\ldots,a_n)=1. determine if \{a_i\} is pairwise coprime, setwise coprime, or neither. here, gcd(\ldots) denotes greatest common divisor. 
"
p02576,"takahashi loves takoyaki - a ball-shaped snack. with a takoyaki machine, he can make at most x pieces of takoyaki at a time, taking t minutes regardless of the number of pieces to make. how long does it take to make n takoyaki? 
"
p02577,"an integer n is a multiple of 9 if and only if the sum of the digits in the decimal representation of n is a multiple of 9. determine whether n is a multiple of 9. 
"
p02578,"n persons are standing in a row. the height of the i-th person from the front is a_i. we want to have each person stand on a stool of some heights - at least zero - so that the following condition is satisfied for every person: condition: nobody in front of the person is taller than the person. here, the height of a person includes the stool. find the minimum total height of the stools needed to meet this goal. 
"
p02579,"a maze is composed of a grid of h \times w squares - h vertical, w horizontal. the square at the i-th row from the top and the j-th column from the left - (i,j) - is a wall if s_{ij} is # and a road if s_{ij} is .. there is a magician in (c_h,c_w). he can do the following two kinds of moves: move a: walk to a road square that is vertically or horizontally adjacent to the square he is currently in. move b: use magic to warp himself to a road square in the 5\times 5 area centered at the square he is currently in. in either case, he cannot go out of the maze. at least how many times does he need to use the magic to reach (d_h, d_w)? 
"
p02580,"we have a two-dimensional grid with h \times w squares. there are m targets to destroy in this grid - the position of the i-th target is \left(h_i, w_i \right). takahashi will choose one square in this grid, place a bomb there, and ignite it. the bomb will destroy all targets that are in the row or the column where the bomb is placed. it is possible to place the bomb at a square with a target. takahashi is trying to maximize the number of targets to destroy. find the maximum number of targets that can be destroyed. 
"
p02582,"we have weather records at atcoder town for some consecutive three days. a string of length 3, s, represents the records - if the i-th character is s, it means it was sunny on the i-th day; if that character is r, it means it was rainy on that day. find the maximum number of consecutive rainy days in this period. 
"
p02583,"we have sticks numbered 1, \cdots, n. the length of stick i (1 \leq i \leq n) is l_i. in how many ways can we choose three of the sticks with different lengths that can form a triangle? that is, find the number of triples of integers (i, j, k) (1 \leq i &lt; j &lt; k \leq n) that satisfy both of the following conditions: l_i, l_j, and l_k are all different. there exists a triangle whose sides have lengths l_i, l_j, and l_k. 

"
p02584,"takahashi, who lives on the number line, is now at coordinate x. he will make exactly k moves of distance d in the positive or negative direction. more specifically, in one move, he can go from coordinate x to x + d or x - d. he wants to make k moves so that the absolute value of the coordinate of the destination will be the smallest possible. find the minimum possible absolute value of the coordinate of the destination. 
"
p02585,"takahashi will play a game using a piece on an array of squares numbered 1, 2, \cdots, n. square i has an integer c_i written on it. also, he is given a permutation of 1, 2, \cdots, n: p_1, p_2, \cdots, p_n. now, he will choose one square and place the piece on that square. then, he will make the following move some number of times between 1 and k (inclusive): in one move, if the piece is now on square i (1 \leq i \leq n), move it to square p_i. here, his score increases by c_{p_i}. help him by finding the maximum possible score at the end of the game. (the score is 0 at the beginning of the game.) 
"
p02586,"there are k items placed on a grid of squares with r rows and c columns. let (i, j) denote the square at the i-th row (1 \leq i \leq r) and the j-th column (1 \leq j \leq c). the i-th item is at (r_i, c_i) and has the value v_i. takahashi will begin at (1, 1), the start, and get to (r, c), the goal. when he is at (i, j), he can move to (i + 1, j) or (i, j + 1) (but cannot move to a non-existent square). he can pick up items on the squares he visits, including the start and the goal, but at most three for each row. it is allowed to ignore the item on a square he visits. find the maximum possible sum of the values of items he picks up. 
"
p02588,"you are given n real values a_1, a_2, \ldots, a_n.
compute the number of pairs of indices (i, j)
    such that i &lt; j and the product a_i \cdot a_j is integer. 
"
p02594,"you will turn on the air conditioner if, and only if, the temperature of the room is 30 degrees celsius or above. the current temperature of the room is x degrees celsius. will you turn on the air conditioner? 
"
p02595,"we have n points in the two-dimensional plane. the coordinates of the i-th point are (x_i,y_i). among them, we are looking for the points such that the distance from the origin is at most d. how many such points are there? we remind you that the distance between the origin and the point (p, q) can be represented as \sqrt{p^2+q^2}. 
"
p02596,"takahashi loves the number 7 and multiples of k. where is the first occurrence of a multiple of k in the sequence 7,77,777,\ldots? (also see output and sample input/output below.) if the sequence contains no multiples of k, print -1 instead. 
"
p02597,"an altar enshrines n stones arranged in a row from left to right. the color of the i-th stone from the left (1 \leq i \leq n) is given to you as a character c_i; r stands for red and w stands for white. you can do the following two kinds of operations any number of times in any order: choose two stones (not necessarily adjacent) and swap them. choose one stone and change its color (from red to white and vice versa). according to a fortune-teller, a white stone placed to the immediate left of a red stone will bring a disaster. at least how many operations are needed to reach a situation without such a white stone? 
"
p02598,"we have n logs of lengths a_1,a_2,\cdots a_n. we can cut these logs at most k times in total. when a log of length l is cut at a point whose distance from an end of the log is t (0&lt;t&lt;l), it becomes two logs of lengths t and l-t. find the shortest possible length of the longest log after at most k cuts, and print it after rounding up to an integer. 
"
p02600,"m-kun is a competitor in atcoder, whose highest rating is x.
in this site, a competitor is given a kyu (class) according to his/her highest rating. for ratings from 400 through 1999, the following kyus are given: from 400 through 599: 8-kyu from 600 through 799: 7-kyu from 800 through 999: 6-kyu from 1000 through 1199: 5-kyu from 1200 through 1399: 4-kyu from 1400 through 1599: 3-kyu from 1600 through 1799: 2-kyu from 1800 through 1999: 1-kyu what kyu does m-kun have? 
"
p02601,"m-kun has the following three cards: a red card with the integer a. a green card with the integer b. a blue card with the integer c. he is a genius magician who can do the following operation at most k times: choose one of the three cards and multiply the written integer by 2. his magic is successful if both of the following conditions are satisfied after the operations: the integer on the green card is strictly greater than the integer on the red card. the integer on the blue card is strictly greater than the integer on the green card. determine whether the magic can be successful. 
"
p02602,"m-kun is a student in aoki high school, where a year is divided into n terms.
there is an exam at the end of each term. according to the scores in those exams, a student is given a grade for each term, as follows: for the first through (k-1)-th terms: not given. for each of the k-th through n-th terms: the multiplication of the scores in the last k exams, including the exam in the graded term. m-kun scored a_i in the exam at the end of the i-th term.
for each i such that k+1 \leq i \leq n, determine whether his grade for the i-th term is strictly greater than the grade for the (i-1)-th term. 
"
p02603,"to become a millionaire, m-kun has decided to make money by trading in the next n days. currently, he has 1000 yen and no stocks - only one kind of stock is issued in the country where he lives. he is famous across the country for his ability to foresee the future. he already knows that the price of one stock in the next n days will be as follows: a_1 yen on the 1-st day, a_2 yen on the 2-nd day, ..., a_n yen on the n-th day. in the i-th day, m-kun can make the following trade any number of times (possibly zero), within the amount of money and stocks that he has at the time. buy stock: pay a_i yen and receive one stock. sell stock: sell one stock for a_i yen. what is the maximum possible amount of money that m-kun can have in the end by trading optimally? 
"
p02606,"how many multiples of d are there among the integers between l and r (inclusive)? 
"
p02607,"we have n squares assigned the numbers 1,2,3,\ldots,n. each square has an integer written on it, and the integer written on square i is a_i. how many squares i satisfy both of the following conditions? the assigned number, i, is odd. the written integer is odd. 

"
p02608,"let f(n) be the number of triples of integers (x,y,z) that satisfy both of the following conditions: 1 \leq x,y,z x^2 + y^2 + z^2 + xy + yz + zx = n given an integer n, find each of f(1),f(2),f(3),\ldots,f(n). 
"
p02609,"let \mathrm{popcount}(n) be the number of 1s in the binary representation of n.
for example, \mathrm{popcount}(3) = 2, \mathrm{popcount}(7) = 3, and \mathrm{popcount}(0) = 0. let f(n) be the number of times the following operation will be done when we repeat it until n becomes 0: ""replace n with the remainder when n is divided by \mathrm{popcount}(n)."" (it can be proved that, under the constraints of this problem, n always becomes 0 after a finite number of operations.) for example, when n=7, it becomes 0 after two operations, as follows: \mathrm{popcount}(7)=3, so we divide 7 by 3 and replace it with the remainder, 1. \mathrm{popcount}(1)=1, so we divide 1 by 1 and replace it with the remainder, 0. you are given an integer x with n digits in binary.
for each integer i such that 1 \leq i \leq n, let x_i be what x becomes when the i-th bit from the top is inverted.
find f(x_1), f(x_2), \ldots, f(x_n). 
"
p02612,"we will buy a product for n yen (the currency of japan) at a shop. if we use only 1000-yen bills to pay the price, how much change will we receive? assume we use the minimum number of bills required. 
"
p02613,"takahashi is participating in a programming contest called axc002, and he has just submitted his code to problem a. the problem has n test cases. for each test case i (1\leq i \leq n), you are given a string s_i representing the verdict for that test case. find the numbers of test cases for which the verdict is ac, wa, tle, and re, respectively. see the output section for the output format. 
"
p02614,"we have a grid of h rows and w columns of squares. the color of the square at the i-th row from the top and the j-th column from the left (1 \leq i \leq h, 1 \leq j \leq w) is given to you as a character c_{i,j}: the square is white if c_{i,j} is ., and black if c_{i,j} is #. consider doing the following operation: choose some number of rows (possibly zero), and some number of columns (possibly zero). then, paint red all squares in the chosen rows and all squares in the chosen columns. you are given a positive integer k. how many choices of rows and columns result in exactly k black squares remaining after the operation? here, we consider two choices different when there is a row or column chosen in only one of those choices. 
"
p02615,"quickly after finishing the tutorial of the online game atchat, you have decided to visit a particular place with n-1 players who happen to be there. these n players, including you, are numbered 1 through n, and the friendliness of player i is a_i. the n players will arrive at the place one by one in some order. to make sure nobody gets lost, you have set the following rule: players who have already arrived there should form a circle, and a player who has just arrived there should cut into the circle somewhere. when each player, except the first one to arrive, arrives at the place, the player gets comfort equal to the smaller of the friendliness of the clockwise adjacent player and that of the counter-clockwise adjacent player. the first player to arrive there gets the comfort of 0. what is the maximum total comfort the n players can get by optimally choosing the order of arrivals and the positions in the circle to cut into? 
"
p02616,"given are n integers a_1,\ldots,a_n. we will choose exactly k of these elements. find the maximum possible product of the chosen elements. then, print the maximum product modulo (10^9+7), using an integer between 0 and 10^9+6 (inclusive). 
"
p02618,"atcoder currently hosts three types of contests: abc, arc, and agc. as the number of users has grown, in order to meet the needs of more users, atcoder has decided to increase the number of contests to 26 types, from aac to azc. for convenience, we number these 26 types as type 1 through type 26. atcoder wants to schedule contests for d days so that user satisfaction is as high as possible. for every day, atcoder will hold exactly one contest, and each contest will end on that day. the satisfaction is calculated as follows. the satisfaction at the beginning of day 1 is 0. satisfaction can be negative. holding contests increases satisfaction. the amount of increase will vary depending on a variety of factors. specifically, we know in advance that holding a contest of type i on day d will increase the satisfaction by s_{d,i}. if a particular type of contest is not held for a while, the satisfaction decreases. each contest type i has an integer c_i, and at the end of each day d=1,2,...,d, the satisfaction decreases as follows. let \mathrm{last}(d,i) be the last day before day d (including d) on which a contest of type i was held. if contests of type i have never been held yet, we define \mathrm{last}(d,i)=0. at the end of day d, the satisfaction decreases by \sum _{i=1}^{26}c_i \times (d-\mathrm{last}(d,i)). please schedule contests on behalf of atcoder.
if the satisfaction at the end of day d is s, you will get a score of \max(10^6 + s, 0).
there are 50 test cases, and the score of a submission is the total scores for each test case.
you can make submissions multiple times, and the highest score among your submissions will be your score. 
"
p02619,"let's first write a program to calculate the score from a pair of input and output. you can know the total score by submitting your solution, or an official program to calculate a score is often provided for local evaluation as in this contest. nevertheless, writing a score calculator by yourself is still useful to check your understanding of the problem specification. moreover, the source code of the score calculator can often be reused for solving the problem or debugging your solution. so it is worthwhile to write a score calculator unless it is very complicated. 
"
p02621,"given an integer a as input, print the value a + a^2 + a^3. 
"
p02622,"given are strings s and t. consider changing s to t by repeating the operation below. find the minimum number of operations required to do so. operation: choose one character of s and replace it with a different character. 
"
p02623,"we have two desks: a and b. desk a has a vertical stack of n books on it, and desk b similarly has m books on it. it takes us a_i minutes to read the i-th book from the top on desk a (1 \leq i \leq n), and b_i minutes to read the i-th book from the top on desk b (1 \leq i \leq m). consider the following action: choose a desk with a book remaining, read the topmost book on that desk, and remove it from the desk. how many books can we read at most by repeating this action so that it takes us at most k minutes in total? we ignore the time it takes to do anything other than reading. 
"
p02624,"for a positive integer x, let f(x) be the number of positive divisors of x. given a positive integer n, find \sum_{k=1}^n k\times f(k). 
"
p02625,"count the pairs of length-n sequences consisting of integers between 1 and m (inclusive), a_1, a_2, \cdots, a_{n} and b_1, b_2, \cdots, b_{n}, that satisfy all of the following conditions: a_i \neq b_i, for every i such that 1\leq i\leq n. a_i \neq a_j and b_i \neq b_j, for every (i, j) such that 1\leq i &lt; j\leq n. since the count can be enormous, print it modulo (10^9+7). 
"
p02627,"an uppercase or lowercase english letter \alpha will be given as input.
if \alpha is uppercase, print a; if it is lowercase, print a. 
"
p02628,"a shop sells n kinds of fruits, fruit 1, \ldots, n, at prices of p_1, \ldots, p_n yen per item, respectively. (yen is the currency of japan.) here, we will choose k kinds of fruits and buy one of each chosen kind. find the minimum possible total price of those fruits. 
"
p02629,"1000000000000001 dogs suddenly appeared under the roof of roger's house, all of which he decided to keep. the dogs had been numbered 1 through 1000000000000001, but he gave them new names, as follows: the dogs numbered 1,2,\cdots,26 were respectively given the names a, b, ..., z; the dogs numbered 27,28,29,\cdots,701,702  were respectively given the names aa, ab, ac, ..., zy, zz; the dogs numbered 703,704,705,\cdots,18277,18278  were respectively given the names aaa, aab, aac, ..., zzy, zzz; the dogs numbered 18279,18280,18281,\cdots,475253,475254  were respectively given the names aaaa, aaab, aaac, ..., zzzy, zzzz; the dogs numbered 475255,475256,\cdots  were respectively given the names aaaaa, aaaab, ...; and so on. to sum it up, the dogs numbered 1, 2, \cdots were respectively given the following names: a, b, ..., z, aa, ab, ..., az, ba, bb, ..., bz, ..., za, zb, ..., zz, aaa, aab, ..., aaz, aba, abb, ..., abz, ..., zzz, aaaa, ... now, roger asks you: ""what is the name for the dog numbered n?"" 
"
p02630,"you have a sequence a composed of n positive integers: a_{1}, a_{2}, \cdots, a_{n}. you will now successively do the following q operations: in the i-th operation, you replace every element whose value is b_{i} with c_{i}. for each i (1 \leq i \leq q), find s_{i}: the sum of all elements in a just after the i-th operation. 
"
p02631,"there are n snuke cats numbered 1, 2, \ldots, n, where n is even. each snuke cat wears a red scarf, on which his favorite non-negative integer is written. recently, they learned the operation called xor (exclusive or).  when x_1~\textrm{xor}~x_2~\textrm{xor}~\ldots~\textrm{xor}~x_n is written in base two, the digit in the 2^k's place (k \geq 0) is 1 if the number of integers among x_1, x_2, \ldots, x_n whose binary representations have 1 in the 2^k's place is odd, and 0 if that count is even.  

for example, 3~\textrm{xor}~5 = 6.
 they wanted to use this operation quickly, so each of them calculated the xor of the integers written on their scarfs except his scarf. we know that the xor calculated by snuke cat i, that is, the xor of the integers written on the scarfs except the scarf of snuke cat i is a_i.
using this information, restore the integer written on the scarf of each snuke cat. 
"
p02632,"how many strings can be obtained by applying the following operation on a string s exactly k times: ""choose one lowercase english letter and insert it somewhere""? the answer can be enormous, so print it modulo (10^9+7). 
"
p02633,"takahashi is standing on a two-dimensional plane, facing north. find the minimum positive integer k such that takahashi will be at the starting position again after he does the following action k times: go one meter in the direction he is facing. then, turn x degrees counter-clockwise. 

"
p02639,"we have five variables x_1, x_2, x_3, x_4, and x_5. the variable x_i was initially assigned a value of i. snuke chose one of these variables and assigned it 0. you are given the values of the five variables after this assignment. find out which variable snuke assigned 0. 
"
p02640,"there are some animals in a garden. each of them is a crane with two legs or a turtle with four legs. takahashi says: ""there are x animals in total in the garden, and they have y legs in total."" determine whether there is a combination of numbers of cranes and turtles in which this statement is correct. 
"
p02641,"given are an integer x and an integer sequence of length n: p_1, \ldots, p_n. among the integers not contained in the sequence p_1, \ldots, p_n (not necessarily positive), find the integer nearest to x, that is, find the integer whose absolute difference with x is the minimum. if there are multiple such integers, report the smallest such integer. 
"
p02642,"given is a number sequence a of length n. find the number of integers i \left(1 \leq i \leq n\right) with the following property: for every integer j \left(1 \leq j \leq n\right) such that i \neq j , a_j does not divide a_i. 

"
p02645,"when you asked some guy in your class his name, he called himself s, where s is a string of length between 3 and 20 (inclusive) consisting of lowercase english letters.
you have decided to choose some three consecutive characters from s and make it his nickname. print a string that is a valid nickname for him. 
"
p02646,"two children are playing tag on a number line. (in the game of tag, the child called ""it"" tries to catch the other child.) the child who is ""it"" is now at coordinate a, and he can travel the distance of v per second.
the other child is now at coordinate b, and she can travel the distance of w per second. he can catch her when his coordinate is the same as hers.
determine whether he can catch her within t seconds (including exactly t seconds later).
we assume that both children move optimally. 
"
p02647,"we have n bulbs arranged on a number line, numbered 1 to n from left to right.
bulb i is at coordinate i. each bulb has a non-negative integer parameter called intensity.
when there is a bulb of intensity d at coordinate x, the bulb illuminates the segment from coordinate x-d-0.5 to x+d+0.5.
initially, the intensity of bulb i is a_i. we will now do the following operation k times in a row: for each integer i between 1 and n (inclusive), let b_i be the number of bulbs illuminating coordinate i. then, change the intensity of each bulb i to b_i. find the intensity of each bulb after the k operations. 
"
p02651,"there are two persons, numbered 0 and 1, and a variable x whose initial value is 0.
the two persons now play a game.
the game is played in n rounds. the following should be done in the i-th round (1 \leq i \leq n): replace x with x \oplus a_i, where \oplus represents bitwise xor. do nothing. 

 person 0 aims to have x=0 at the end of the game, while person 1 aims to have x \neq 0 at the end of the game. determine whether x becomes 0 at the end of the game when the two persons play optimally. solve t test cases for each input file. 
"
p02657,"compute a \times b. 
"
p02658,"given n integers a_1, ..., a_n, compute a_1 \times ... \times a_n. however, if the result exceeds 10^{18}, print -1 instead. 
"
p02659,"compute a \times b, truncate its fractional part, and print the result as an integer. 
"
p02660,"given is a positive integer n. consider repeatedly applying the operation below on n: z can be represented as z=p^e, where p is a prime number and e is a positive integer; z divides n; z is different from all integers chosen in previous operations. 

 then, replace n with n/z. find the maximum number of times the operation can be applied. 
"
p02661,"there are n integers x_1, x_2, \cdots, x_n, and we know that a_i \leq x_i \leq b_i.
find the number of different values that the median of x_1, x_2, \cdots, x_n can take. 
"
p02662,"given are a sequence of n positive integers a_1, a_2, \ldots, a_n and another positive integer s.
for a non-empty subset t of the set \{1, 2, \ldots , n \}, let us define f(t) as follows: f(t) is the number of different non-empty subsets \{x_1, x_2, \ldots , x_k \} of t such that a_{x_1}+a_{x_2}+\cdots +a_{x_k} = s. find the sum of f(t) over all 2^n-1 subsets t of \{1, 2, \ldots , n \}. since the sum can be enormous, print it modulo 998244353. 
"
p02663,"in this problem, we use the 24-hour clock. takahashi gets up exactly at the time h_1 : m_1 and goes to bed exactly at the time h_2 : m_2. (see sample inputs below for clarity.)
he has decided to study for k consecutive minutes while he is up.
what is the length of the period in which he can start studying? 
"
p02664,"for a string s consisting of the uppercase english letters p and d, let the doctoral and postdoctoral quotient of s be the total number of occurrences of d and pd in s as contiguous substrings. for example, if s = ppddp, it contains two occurrences of d and one occurrence of pd as contiguous substrings, so the doctoral and postdoctoral quotient of s is 3. we have a string t consisting of p, d, and ?. among the strings that can be obtained by replacing each ? in t with p or d, find one with the maximum possible doctoral and postdoctoral quotient. 
"
p02665,"given is an integer sequence of length n+1: a_0, a_1, a_2, \ldots, a_n. is there a binary tree of depth n such that, for each d = 0, 1, \ldots, n, there are exactly a_d leaves at depth d? if such a tree exists, print the maximum possible number of vertices in such a tree; otherwise, print -1. 
"
p02669,"you start with the number 0 and you want to reach the number n. you can change the number, paying a certain amount of coins, with the following operations: multiply the number by 2, paying a coins. multiply the number by 3, paying b coins. multiply the number by 5, paying c coins. increase or decrease the number by 1, paying d coins. you can perform these operations in arbitrary order and an arbitrary number of times. what is the minimum number of coins you need to reach n? you have to solve t testcases. 
"
p02675,"the cat snuke wants to play a popular japanese game called åtcoder, so iroha has decided to teach him japanese. when counting pencils in japanese, the counter word ""本"" follows the number. the pronunciation of this word varies depending on the number. specifically, the pronunciation of ""本"" in the phrase ""n 本"" for a positive integer n not exceeding 999 is as follows: hon when the digit in the one's place of n is 2, 4, 5, 7, or 9; pon when the digit in the one's place of n is 0, 1, 6 or 8; bon when the digit in the one's place of n is 3. given n, print the pronunciation of ""本"" in the phrase ""n 本"". 
"
p02676,"we have a string s consisting of lowercase english letters. if the length of s is at most k, print s without change. if the length of s exceeds k, extract the first k characters in s, append ... to the end of them, and print the result. 
"
p02677,"consider an analog clock whose hour and minute hands are a and b centimeters long, respectively. an endpoint of the hour hand and an endpoint of the minute hand are fixed at the same point, around which each hand rotates clockwise at constant angular velocity. it takes the hour and minute hands 12 hours and 1 hour to make one full rotation, respectively. at 0 o'clock, the two hands overlap each other. h hours and m minutes later, what is the distance in centimeters between the unfixed endpoints of the hands? 
"
p02678,"there is a cave. the cave has n rooms and m passages. the rooms are numbered 1 to n, and the passages are numbered 1 to m. passage i connects room a_i and room b_i bidirectionally. one can travel between any two rooms by traversing passages. room 1 is a special room with an entrance from the outside. it is dark in the cave, so we have decided to place a signpost in each room except room 1. the signpost in each room will point to one of the rooms directly connected to that room with a passage. since it is dangerous in the cave, our objective is to satisfy the condition below for each room except room 1. if you start in that room and repeatedly move to the room indicated by the signpost in the room you are in, you will reach room 1 after traversing the minimum number of passages possible. determine whether there is a way to place signposts satisfying our objective, and print one such way if it exists. 
"
p02679,"we have caught n sardines. the deliciousness and fragrantness of the i-th sardine is a_i and b_i, respectively. we will choose one or more of these sardines and put them into a cooler. however, two sardines on bad terms cannot be chosen at the same time. the i-th and j-th sardines (i \neq j) are on bad terms if and only if a_i \cdot a_j + b_i \cdot b_j = 0. in how many ways can we choose the set of sardines to put into the cooler? since the count can be enormous, print it modulo 1000000007. 
"
p02681,"takahashi wants to be a member of some web service. he tried to register himself with the id s, which turned out to be already used by another user. thus, he decides to register using a string obtained by appending one character at the end of s as his id. he is now trying to register with the id t. determine whether this string satisfies the property above. 
"
p02682,"we have a cards, each of which has an integer 1 written on it. similarly, we also have b cards with 0s and c cards with -1s. we will pick up k among these cards. what is the maximum possible sum of the numbers written on the cards chosen? 
"
p02683,"takahashi, who is a novice in competitive programming, wants to learn m algorithms.
initially, his understanding level of each of the m algorithms is 0. takahashi is visiting a bookstore, where he finds n books on algorithms.
the i-th book (1\leq i\leq n) is sold for c_i yen (the currency of japan). if he buys and reads it, his understanding level of the j-th algorithm will increase by a_{i,j} for each j (1\leq j\leq m).
there is no other way to increase the understanding levels of the algorithms. takahashi's objective is to make his understanding levels of all the m algorithms x or higher. determine whether this objective is achievable. if it is achievable, find the minimum amount of money needed to achieve it. 
"
p02684,"the kingdom of takahashi has n towns, numbered 1 through n. there is one teleporter in each town. the teleporter in town i (1 \leq i \leq n) sends you to town a_i. takahashi, the king, loves the positive integer k. the selfish king wonders what town he will be in if he starts at town 1 and uses a teleporter exactly k times from there. help the king by writing a program that answers this question. 
"
