index,Final_description,title
p02602,"m-kun is a student in aoki high school, where a year is divided into n terms. there is an exam at the end of each term. according to the scores in those exams, a student is given a grade for each term, as follows: for the first through (k-1)-th terms: not given. for each of the k-th through n-th terms: the multiplication of the scores in the last k exams, including the exam in the graded term. m-kun scored a_i in the exam at the end of the i-th term. for each i such that k+1 \leq i \leq n, determine whether his grade for the i-th term is strictly greater than the grade for the (i-1)-th term."," m-kun is a student in aoki high school where a year is divided into n terms and there is an exam at the end of each term. According to the scores in the exams, a student is given a grade for each term, as follows: for the first through (k-1)-th terms: not given, for each of the k-th through n-th term: the multiplication of the scores from the last k exams, including the exam in the graded term."
p02603,"to become a millionaire, m-kun has decided to make money by trading in the next n days. currently, he has 1000 yen and no stocks - only one kind of stock is issued in the country where he lives. he is famous across the country for his ability to foresee the future. he already knows that the price of one stock in the next n days will be as follows: a_1 yen on the 1-st day, a_2 yen on the 2-nd day, ..., a_n yen on the n-th day. in the i-th day, m-kun can make the following trade any number of times (possibly zero), within the amount of money and stocks that he has at the time. buy stock: pay a_i yen and receive one stock. sell stock: sell one stock for a_i yen. what is the maximum possible amount of money that m-kun can have in the end by trading optimally?","M-kun wants to become a millionaire by trading in the next n days. He has 1000 yen and no stocks. He is famous across the country for his ability to foresee the future. The price of one stock will be as follows: a_1 yen on the 1-st day, a_2 yen on 2-2 days, ... a_n yen on 3-4th day, and so on."
p02606,how many multiples of d are there among the integers between l and r (inclusive)?,"How many multiples of d are there among the integers between l and r (inclusive) in the whole range of possible values of d? For example, how many multiplexes of d do there are in the range of l-r-r?"
p02607,"we have n squares assigned the numbers 1,2,3,\ldots,n. each square has an integer written on it, and the integer written on square i is a_i. how many squares i satisfy both of the following conditions? the assigned number, i, is odd. the written integer is odd.","There are n squares assigned the numbers 1,2,3,\ldots,n. Each square has an integer written on it. The integer on square i is a_i. If the assigned number, i, is odd, then square i satisfies both of the following conditions."
p02608,"let f(n) be the number of triples of integers (x,y,z) that satisfy both of the following conditions: 1 \leq x,y,z x^2 + y^2 + z^2 + xy + yz + zx = n given an integer n, find each of f(1),f(2),f(3),\ldots,f(n).","F(n) is the number of triples of integers (x,y,z) that satisfy both of the following conditions: 1, 2, 3, 4, 5, 6, 7, x, y, z, xy, yz, zx, n."
p02609,"let \mathrm{popcount}(n) be the number of 1s in the binary representation of n. for example, \mathrm{popcount}(3) = 2, \mathrm{popcount}(7) = 3, and \mathrm{popcount}(0) = 0. let f(n) be the number of times the following operation will be done when we repeat it until n becomes 0: ""replace n with the remainder when n is divided by \mathrm{popcount}(n)."" (it can be proved that, under the constraints of this problem, n always becomes 0 after a finite number of operations.) for example, when n=7, it becomes 0 after two operations, as follows: \mathrm{popcount}(7)=3, so we divide 7 by 3 and replace it with the remainder, 1. \mathrm{popcount}(1)=1, so we divide 1 by 1 and replace it with the remainder, 0. you are given an integer x with n digits in binary. for each integer i such that 1 \leq i \leq n, let x_i be what x becomes when the i-th bit from the top is inverted. find f(x_1), f(x_2), \ldots, f(x_n).",N is the number of 1s in the binary representation of n. N always becomes 0 after a finite number of operations. x is an integer x with n digits in binary. x_i is what x becomes when the i-th bit from the top is inverted.
p02612,"we will buy a product for n yen (the currency of japan) at a shop. if we use only 1000-yen bills to pay the price, how much change will we receive? assume we use the minimum number of bills required.","If we use 1000-yen bills to pay the price for a product in Japan, we will get the minimum amount of money needed to buy the product. If we use the minimum number of bills required, we get less than the amount needed to cover the entire price."
p02613,"takahashi is participating in a programming contest called axc002, and he has just submitted his code to problem a. the problem has n test cases. for each test case i (1\leq i \leq n), you are given a string s_i representing the verdict for that test case. find the numbers of test cases for which the verdict is ac, wa, tle, and re, respectively. see the output section for the output format.","Takahashi is participating in a programming contest called axc002. He has just submitted his code to problem a. for each test case i (1\leq i \leq n), you are given a string s_i representing the verdict for that test case."
p02614,"we have a grid of h rows and w columns of squares. the color of the square at the i-th row from the top and the j-th column from the left (1 \leq i \leq h, 1 \leq j \leq w) is given to you as a character c_{i,j}: the square is white if c_{i,j} is ., and black if c_{i,j} is #. consider doing the following operation: choose some number of rows (possibly zero), and some number of columns (possibly zero). then, paint red all squares in the chosen rows and all squares in the chosen columns. you are given a positive integer k. how many choices of rows and columns result in exactly k black squares remaining after the operation? here, we consider two choices different when there is a row or column chosen in only one of those choices.","If you have a grid of h rows and w columns of squares, the color of the square at the i-th row from the top and the j-th column from the left is given to you as a character c. The square is white if c.i,j is ., and black if c  is #. If you choose some number of rows and columns and paint red all the squares in the chosen rows and all squares in chosen columns, you are given a positive integer k."
p02615,"quickly after finishing the tutorial of the online game atchat, you have decided to visit a particular place with n-1 players who happen to be there. these n players, including you, are numbered 1 through n, and the friendliness of player i is a_i. the n players will arrive at the place one by one in some order. to make sure nobody gets lost, you have set the following rule: players who have already arrived there should form a circle, and a player who has just arrived there should cut into the circle somewhere. when each player, except the first one to arrive, arrives at the place, the player gets comfort equal to the smaller of the friendliness of the clockwise adjacent player and that of the counter-clockwise adjacent player. the first player to arrive there gets the comfort of 0. what is the maximum total comfort the n players can get by optimally choosing the order of arrivals and the positions in the circle to cut into?","After finishing the tutorial of the online game atchat, you decide to visit a place with n-1 players who are numbered 1 through n, and the friendliness of player i is a_i. The n players will arrive at the place one by one in some order."
p02616,"given are n integers a_1,\ldots,a_n. we will choose exactly k of these elements. find the maximum possible product of the chosen elements. then, print the maximum product modulo (10^9+7), using an integer between 0 and 10^9+6 (inclusive).","There are n integers a_1,\ldots,a_n. We will choose exactly k of these elements and find the maximum possible product of the chosen elements. Then, print the maximum product modulo (10^9+7) using an integer between 0 and 10% and 6%."
p02618,"atcoder currently hosts three types of contests: abc, arc, and agc. as the number of users has grown, in order to meet the needs of more users, atcoder has decided to increase the number of contests to 26 types, from aac to azc. for convenience, we number these 26 types as type 1 through type 26. atcoder wants to schedule contests for d days so that user satisfaction is as high as possible. for every day, atcoder will hold exactly one contest, and each contest will end on that day. the satisfaction is calculated as follows. the satisfaction at the beginning of day 1 is 0. satisfaction can be negative. holding contests increases satisfaction. the amount of increase will vary depending on a variety of factors. specifically, we know in advance that holding a contest of type i on day d will increase the satisfaction by s_{d,i}. if a particular type of contest is not held for a while, the satisfaction decreases. each contest type i has an integer c_i, and at the end of each day d=1,2,...,d, the satisfaction decreases as follows. let \mathrm{last}(d,i) be the last day before day d (including d) on which a contest of type i was held. if contests of type i have never been held yet, we define \mathrm{last}(d,i)=0. at the end of day d, the satisfaction decreases by \sum _{i=1}^{26}c_i \times (d-\mathrm{last}(d,i)). please schedule contests on behalf of atcoder. if the satisfaction at the end of day d is s, you will get a score of \max(10^6 + s, 0). there are 50 test cases, and the score of a submission is the total scores for each test case. you can make submissions multiple times, and the highest score among your submissions will be your score.","Atcoder hosts three types of contests: abc, arc, and agc. Atcoder wants to increase the number of contests to 26 types from aac to azc. There are 50 test cases and the score of a submission is the total scores for each test case."
p02619,"let's first write a program to calculate the score from a pair of input and output. you can know the total score by submitting your solution, or an official program to calculate a score is often provided for local evaluation as in this contest. nevertheless, writing a score calculator by yourself is still useful to check your understanding of the problem specification. moreover, the source code of the score calculator can often be reused for solving the problem or debugging your solution. so it is worthwhile to write a score calculator unless it is very complicated.",A score calculator is useful to check your understanding of the problem specification. The source code of the score calculator can often be reused for solving the problem or debugging your solution. It is worthwhile to write a score calculator unless the problem is very complicated. The winner of the contest will be chosen on the basis of the total score.
p02621,"given an integer a as input, print the value a + a^2 + a^3.","Given an integer a as input, print the value a + a^2 + a ^3 as an alternative to ""a"" as the original.    .   ""A"" is an integer with a value of a + 2 or more than 3."
p02622,given are strings s and t. consider changing s to t by repeating the operation below. find the minimum number of operations required to do so. operation: choose one character of s and replace it with a different character.,Consider changing s to t by repeating the operation below. Find the minimum number of operations required to do so. The strings s and t are given as an example of the operation to change one character of s and replace it with a different character in the string.
p02623,"we have two desks: a and b. desk a has a vertical stack of n books on it, and desk b similarly has m books on it. it takes us a_i minutes to read the i-th book from the top on desk a (1 \leq i \leq n), and b_i minutes to read the i-th book from the top on desk b (1 \leq i \leq m). consider the following action: choose a desk with a book remaining, read the topmost book on that desk, and remove it from the desk. how many books can we read at most by repeating this action so that it takes us at most k minutes in total? we ignore the time it takes to do anything other than reading.","It takes us k minutes to read the i-th book from the top of desk a, and m minutes on desk b. We ignore the time it takes to do anything other than reading. We can read at most k books in total by repeating this action on two desks."
p02624,"for a positive integer x, let f(x) be the number of positive divisors of x. given a positive integer n, find \sum_{k=1}^n k\times f(k).","For a positive integer x, let f(x) be the number of positive divisors of x. Given a positive n, find the sum of k and f(k) for a positive number of k.   in terms of f(f(k)."
p02625,"count the pairs of length-n sequences consisting of integers between 1 and m (inclusive), a_1, a_2, \cdots, a_{n} and b_1, b_2, \cdots, b_{n}, that satisfy all of the following conditions: a_i \neq b_i, for every i such that 1\leq i\leq n. a_i \neq a_j and b_i \neq b_j, for every (i, j) such that 1\leq i &lt; j\leq n. since the count can be enormous, print it modulo (10^9+7)."," count the pairs of length-n sequences consisting of integers between 1 and m (inclusive), a_1, a_2,  a_n, a  and b_n are pairs that satisfy all of the following conditions: a_i, b_i and a_j. print the count modulo 10^9+7."
p02627,"an uppercase or lowercase english letter \alpha will be given as input. if \alpha is uppercase, print a; if it is lowercase, print a.","If an uppercase or lowercase English letter is given as input, print a; if it's lowercase, print an. If it's not, print the lowercase version of the English letter. If the letter is uppercased, print it; if lowercase it's printed."
p02628,"a shop sells n kinds of fruits, fruit 1, \ldots, n, at prices of p_1, \ldots, p_n yen per item, respectively. (yen is the currency of japan.) here, we will choose k kinds of fruits and buy one of each chosen kind. find the minimum possible total price of those fruits.","A shop sells n kinds of fruits at prices of p_1, p_n yen per item, respectively. Here, we will buy one of each chosen kind and find the minimum possible total price of those fruits. The prices are based on yen.  "
p02629,"1000000000000001 dogs suddenly appeared under the roof of roger's house, all of which he decided to keep. the dogs had been numbered 1 through 1000000000000001, but he gave them new names, as follows: the dogs numbered 1,2,\cdots,26 were respectively given the names a, b, ..., z; the dogs numbered 27,28,29,\cdots,701,702 were respectively given the names aa, ab, ac, ..., zy, zz; the dogs numbered 703,704,705,\cdots,18277,18278 were respectively given the names aaa, aab, aac, ..., zzy, zzz; the dogs numbered 18279,18280,18281,\cdots,475253,475254 were respectively given the names aaaa, aaab, aaac, ..., zzzy, zzzz; the dogs numbered 475255,475256,\cdots were respectively given the names aaaaa, aaaab, ...; and so on. to sum it up, the dogs numbered 1, 2, \cdots were respectively given the following names: a, b, ..., z, aa, ab, ..., az, ba, bb, ..., bz, ..., za, zb, ..., zz, aaa, aab, ..., aaz, aba, abb, ..., abz, ..., zzz, aaaa, ... now, roger asks you: ""what is the name for the dog numbered n?""","100 dogs suddenly appeared under the roof of roger's house and he decided to keep them. He gave them new names, as follows: the dogs numbered 1,2, 26, 27, 28, 29,  and  were respectively given the names a, b, ..., z. "
p02630,"you have a sequence a composed of n positive integers: a_{1}, a_{2}, \cdots, a_{n}. you will now successively do the following q operations: in the i-th operation, you replace every element whose value is b_{i} with c_{i}. for each i (1 \leq i \leq q), find s_{i}: the sum of all elements in a just after the i-th operation.","If you have a sequence a composed of n positive integers, you will do the following q operations: in the i-th operation, you replace every element whose value is b with c, and for each i (1 - q), find s, the sum of all elements in a."
p02631,"there are n snuke cats numbered 1, 2, \ldots, n, where n is even. each snuke cat wears a red scarf, on which his favorite non-negative integer is written. recently, they learned the operation called xor (exclusive or). when x_1~\textrm{xor}~x_2~\textrm{xor}~\ldots~\textrm{xor}~x_n is written in base two, the digit in the 2^k's place (k \geq 0) is 1 if the number of integers among x_1, x_2, \ldots, x_n whose binary representations have 1 in the 2^k's place is odd, and 0 if that count is even. for example, 3~\textrm{xor}~5 = 6. they wanted to use this operation quickly, so each of them calculated the xor of the integers written on their scarfs except his scarf. we know that the xor calculated by snuke cat i, that is, the xor of the integers written on the scarfs except the scarf of snuke cat i is a_i. using this information, restore the integer written on the scarf of each snuke cat.","There are n snuke cats numbered 1, 2, \ldots, n, where n is even. Each cat wears a red scarf with his favorite non-negative integer written on it. Recently, they learned the operation called xor. They calculated the xor of the integers written on each cat's scarf except his."
p02632,"how many strings can be obtained by applying the following operation on a string s exactly k times: ""choose one lowercase english letter and insert it somewhere""? the answer can be enormous, so print it modulo (10^9+7).","There are many strings that can be obtained by applying the operation on a string s exactly k times: ""choose one lowercase English letter and insert it somewhere"". The answer can be enormous, so print it modulo (10^9+7). "
p02633,"takahashi is standing on a two-dimensional plane, facing north. find the minimum positive integer k such that takahashi will be at the starting position again after he does the following action k times: go one meter in the direction he is facing. then, turn x degrees counter-clockwise.","Takahashi is standing on a two-dimensional plane, facing north. He needs to find the minimum positive integer k such that he will be at the starting position again after he does the following action k times: go one meter in the direction he is facing, then, turn x degrees counter-clockwise."
p02639,"we have five variables x_1, x_2, x_3, x_4, and x_5. the variable x_i was initially assigned a value of i. snuke chose one of these variables and assigned it 0. you are given the values of the five variables after this assignment. find out which variable snuke assigned 0.","Snuke assigned a variable x_i a value of 0. After this assignment, you are given the values of the five variables x_1, x_2, x-3, x -4, and x -5. Find out which variable snuke assigned 0."
p02640,"there are some animals in a garden. each of them is a crane with two legs or a turtle with four legs. takahashi says: ""there are x animals in total in the garden, and they have y legs in total."" determine whether there is a combination of numbers of cranes and turtles in which this statement is correct.",There are some animals in a garden that are either a crane with two legs or a turtle with four legs. Takahashi is trying to determine whether there is a combination of numbers of cranes and turtles in which this statement is correct.    ...
p02641,"given are an integer x and an integer sequence of length n: p_1, \ldots, p_n. among the integers not contained in the sequence p_1, \ldots, p_n (not necessarily positive), find the integer nearest to x, that is, find the integer whose absolute difference with x is the minimum. if there are multiple such integers, report the smallest such integer.","Find the integer nearest to x and an integer sequence of length n: p_1, p_n. If there are multiple such integers, report the smallest one that is the absolute difference with x is the minimum one.    ""P_n"" is the smallest such integer. "
p02642,"given is a number sequence a of length n. find the number of integers i \left(1 \leq i \leq n\right) with the following property: for every integer j \left(1 \leq j \leq n\right) such that i \neq j , a_j does not divide a_i.","There is a number sequence a of length n with the following property: for every integer j such that i and j do not divide, a_j does not divide a_i. i is the number of integers i with the property that j is not divided by n."
p02645,"when you asked some guy in your class his name, he called himself s, where s is a string of length between 3 and 20 (inclusive) consisting of lowercase english letters. you have decided to choose some three consecutive characters from s and make it his nickname. print a string that is a valid nickname for him.","S is a string of letters between 3 and 20 characters, where s is the name of a person. If you want to make a nickname for him, print a string that is a valid nickname for that person and use three consecutive characters from s as his name."
p02646,"two children are playing tag on a number line. (in the game of tag, the child called ""it"" tries to catch the other child.) the child who is ""it"" is now at coordinate a, and he can travel the distance of v per second. the other child is now at coordinate b, and she can travel the distance of w per second. he can catch her when his coordinate is the same as hers. determine whether he can catch her within t seconds (including exactly t seconds later). we assume that both children move optimally.","Two children are playing tag on a number line. The child called ""it"" tries to catch the other child. He can catch her when his coordinate is the same as hers. He should be able to catch her within t seconds, including exactly t seconds later if both children move optimally."
p02647,"we have n bulbs arranged on a number line, numbered 1 to n from left to right. bulb i is at coordinate i. each bulb has a non-negative integer parameter called intensity. when there is a bulb of intensity d at coordinate x, the bulb illuminates the segment from coordinate x-d-0.5 to x+d+0.5. initially, the intensity of bulb i is a_i. we will now do the following operation k times in a row: for each integer i between 1 and n (inclusive), let b_i be the number of bulbs illuminating coordinate i. then, change the intensity of each bulb i to b_i. find the intensity of each bulb after the k operations.","There are n bulbs arranged on a number line, numbered 1 to n from left to right. Each bulb has a non-negative integer parameter called intensity. When there is a bulb of intensity d at coordinate x, the bulb illuminates the segment from coordinate x-d-0.5 to x+d-1.5."
p02651,"there are two persons, numbered 0 and 1, and a variable x whose initial value is 0. the two persons now play a game. the game is played in n rounds. the following should be done in the i-th round (1 \leq i \leq n): replace x with x \oplus a_i, where \oplus represents bitwise xor. do nothing. person 0 aims to have x=0 at the end of the game, while person 1 aims to have x \neq 0 at the end of the game. determine whether x becomes 0 at the end of the game when the two persons play optimally. solve t test cases for each input file.","There are two people, 0 and 1, and a variable x whose initial value is 0. The game is played in n rounds. Person 0 aims to have x=0 at the end of the game, while person 1 aims for x to be equal to 0."
p02657,compute a \times b.,"It's compute a, a, b, a and b. It's a one-to-one formula.    i.e. it's a combination of a and  b. A, b and b are equal to a and a. "
p02658,"given n integers a_1, ..., a_n, compute a_1 \times ... \times a_n. however, if the result exceeds 10^{18}, print -1 instead.","If the result exceeds 10, print -1 instead of the usual 0.01.   ..., a_n is the sum of n integers a_1, ..., n. A_1 is the product of a number of integers a.1 and n."
p02659,"compute a \times b, truncate its fractional part, and print the result as an integer."," compute a \times b, truncate its fractional part, and print the result as an integer, a/b/a. A/a/b is the product of a/a and b/b, where b/a is a fractional number. "
p02660,"given is a positive integer n. consider repeatedly applying the operation below on n: z can be represented as z=p^e, where p is a prime number and e is a positive integer; z divides n; z is different from all integers chosen in previous operations. then, replace n with n/z. find the maximum number of times the operation can be applied.","Consider applying the operation below repeatedly on positive integer n. Find the maximum number of times the operation can be applied. z can be represented as z=p^e, where p is a prime number and e is a positive integer and z divides n. "
p02661,"there are n integers x_1, x_2, \cdots, x_n, and we know that a_i \leq x_i \leq b_i. find the number of different values that the median of x_1, x_2, \cdots, x_n can take.","There are n integers x_1, x_2, x-n. Find the number of different values that the median of x-1,  x-2,  -x-n can take. For example, a_i \leq x_i and b_i."
p02662,"given are a sequence of n positive integers a_1, a_2, \ldots, a_n and another positive integer s. for a non-empty subset t of the set \{1, 2, \ldots , n \}, let us define f(t) as follows: f(t) is the number of different non-empty subsets \{x_1, x_2, \ldots , x_k \} of t such that a_{x_1}+a_{x_2}+\cdots +a_{x_k} = s. find the sum of f(t) over all 2^n-1 subsets t of \{1, 2, \ldots , n \}. since the sum can be enormous, print it modulo 998244353.","F(t) is the number of different non-empty subsets of t such that a = s. print the sum of this number modulo 998244353 to find the definition of f(t). It is the sum over all 2^n-1 subsets t of the set 1, 2, \ldots , n."
p02663,"in this problem, we use the 24-hour clock. takahashi gets up exactly at the time h_1 : m_1 and goes to bed exactly at the time h_2 : m_2. (see sample inputs below for clarity.) he has decided to study for k consecutive minutes while he is up. what is the length of the period in which he can start studying?",Takahashi gets up at the time h_1 : m_1 and goes to bed at h_2: m_2. He has decided to study for k consecutive minutes while he is up. What is the length of the period in which he can start studying?
p02664,"for a string s consisting of the uppercase english letters p and d, let the doctoral and postdoctoral quotient of s be the total number of occurrences of d and pd in s as contiguous substrings. for example, if s = ppddp, it contains two occurrences of d and one occurrence of pd as contiguous substrings, so the doctoral and postdoctoral quotient of s is 3. we have a string t consisting of p, d, and ?. among the strings that can be obtained by replacing each ? in t with p or d, find one with the maximum possible doctoral and postdoctoral quotient.","For a string s consisting of the uppercase english letters p and d, the doctoral and postdoctoral quotient of s is the total number of occurrences of d and pd in s as contiguous substrings. For a string t consisting of p, d, and ?, find one with the maximum possible quotient."
p02665,"given is an integer sequence of length n+1: a_0, a_1, a_2, \ldots, a_n. is there a binary tree of depth n such that, for each d = 0, 1, \ldots, n, there are exactly a_d leaves at depth d? if such a tree exists, print the maximum possible number of vertices in such a tree; otherwise, print -1.","If there is a binary tree of depth n such that there are exactly a_d leaves at depth d, print the maximum possible number of vertices in such a tree. If there is not, print -1 and if there is no such tree, print 0."
p02669,"you start with the number 0 and you want to reach the number n. you can change the number, paying a certain amount of coins, with the following operations: multiply the number by 2, paying a coins. multiply the number by 3, paying b coins. multiply the number by 5, paying c coins. increase or decrease the number by 1, paying d coins. you can perform these operations in arbitrary order and an arbitrary number of times. what is the minimum number of coins you need to reach n? you have to solve t testcases.","If you want to reach the number n, you need to pay a certain amount of coins. To solve t testcases, you have to solve the following operations: multiply the number by 2, pay a coins, pay b coins and pay c coins. Increase or decrease the number of coins by 1 or less."
p02675,"the cat snuke wants to play a popular japanese game called åtcoder, so iroha has decided to teach him japanese. when counting pencils in japanese, the counter word ""本"" follows the number. the pronunciation of this word varies depending on the number. specifically, the pronunciation of ""本"" in the phrase ""n 本"" for a positive integer n not exceeding 999 is as follows: hon when the digit in the one's place of n is 2, 4, 5, 7, or 9; pon when the digit in the one's place of n is 0, 1, 6 or 8; bon when the digit in the one's place of n is 3. given n, print the pronunciation of ""本"" in the phrase ""n 本"".","iroha is teaching cat snuke how to play a popular Japanese game called åtcoder in Japanese. In japanese, the counter word ""本"" follows the number and the pronunciation of this word varies depending on the number. For a positive integer n not exceeding 999, print the pronunciation ""n 本"" in the phrase ""n n 本""."
p02676,"we have a string s consisting of lowercase english letters. if the length of s is at most k, print s without change. if the length of s exceeds k, extract the first k characters in s, append ... to the end of them, and print the result.","If the length of s exceeds k, extract the first k characters in s and append ... to the end of them and print the result. we have a string s consisting of lowercase english letters. If the length is at most k, print s without change. "
p02677,"consider an analog clock whose hour and minute hands are a and b centimeters long, respectively. an endpoint of the hour hand and an endpoint of the minute hand are fixed at the same point, around which each hand rotates clockwise at constant angular velocity. it takes the hour and minute hands 12 hours and 1 hour to make one full rotation, respectively. at 0 o'clock, the two hands overlap each other. h hours and m minutes later, what is the distance in centimeters between the unfixed endpoints of the hands?","An analog clock's hour and minute hands are fixed at the same point. It takes the hands 12 hours and 1 hour to make one full rotation. At 0 o'clock, the hands overlap each other. The distance in centimeters is the distance between the unfixed endpoints of the hands."
p02678,"there is a cave. the cave has n rooms and m passages. the rooms are numbered 1 to n, and the passages are numbered 1 to m. passage i connects room a_i and room b_i bidirectionally. one can travel between any two rooms by traversing passages. room 1 is a special room with an entrance from the outside. it is dark in the cave, so we have decided to place a signpost in each room except room 1. the signpost in each room will point to one of the rooms directly connected to that room with a passage. since it is dangerous in the cave, our objective is to satisfy the condition below for each room except room 1. if you start in that room and repeatedly move to the room indicated by the signpost in the room you are in, you will reach room 1 after traversing the minimum number of passages possible. determine whether there is a way to place signposts satisfying our objective, and print one such way if it exists.","There is a cave with n rooms and m passages. Room 1 is a special room with an entrance from the outside. The signpost in each room except room 1 will point to one of the rooms directly connected to that room with a passage. If you start in room 1 and repeatedly move to the room indicated by the signpost, you will reach room 1 after traversing the minimum number of passages possible."
p02679,"we have caught n sardines. the deliciousness and fragrantness of the i-th sardine is a_i and b_i, respectively. we will choose one or more of these sardines and put them into a cooler. however, two sardines on bad terms cannot be chosen at the same time. the i-th and j-th sardines (i \neq j) are on bad terms if and only if a_i \cdot a_j + b_i \cdot b_j = 0. in how many ways can we choose the set of sardines to put into the cooler? since the count can be enormous, print it modulo 1000000007.","The deliciousness and fragrantness of the i-th sardine is a_i and b_i, respectively. Two sardines on bad terms cannot be chosen at the same time. The count can be enormous, print it modulo 1000000007."
p02681,"takahashi wants to be a member of some web service. he tried to register himself with the id s, which turned out to be already used by another user. thus, he decides to register using a string obtained by appending one character at the end of s as his id. he is now trying to register with the id t. determine whether this string satisfies the property above.",Takahashi wants to register himself as a member of a web service. The id s was already used by another user. Takahashi is now trying to register with the id t to determine whether this string satisfies the property above. He is trying to use a string obtained by appending one character at the end of s as his id.
p02682,"we have a cards, each of which has an integer 1 written on it. similarly, we also have b cards with 0s and c cards with -1s. we will pick up k among these cards. what is the maximum possible sum of the numbers written on the cards chosen?","K is the maximum possible sum of the numbers written on the cards chosen by the player.    k is a card with an integer 1 written on it, b cards with 0s and c cards with -1s, and we will pick up k among these cards."
p02683,"takahashi, who is a novice in competitive programming, wants to learn m algorithms. initially, his understanding level of each of the m algorithms is 0. takahashi is visiting a bookstore, where he finds n books on algorithms. the i-th book (1\leq i\leq n) is sold for c_i yen (the currency of japan). if he buys and reads it, his understanding level of the j-th algorithm will increase by a_{i,j} for each j (1\leq j\leq m). there is no other way to increase the understanding levels of the algorithms. takahashi's objective is to make his understanding levels of all the m algorithms x or higher. determine whether this objective is achievable. if it is achievable, find the minimum amount of money needed to achieve it.","Takahashi is a novice in competitive programming and wants to learn m algorithms. His understanding level of each of the m algorithms is 0. The i-th book on algorithms is sold for c_i yen (the currency of Japan). If Takahashi buys and reads it, his understanding of the j-th algorithm will increase by a_{i,j} for each j (1\leq j,j)."
p02684,"the kingdom of takahashi has n towns, numbered 1 through n. there is one teleporter in each town. the teleporter in town i (1 \leq i \leq n) sends you to town a_i. takahashi, the king, loves the positive integer k. the selfish king wonders what town he will be in if he starts at town 1 and uses a teleporter exactly k times from there. help the king by writing a program that answers this question.","The kingdom of Takahashi has n towns, numbered 1 through n. There is one teleporter in each town. The king loves the positive integer k. He wonders what town he will be in if he starts at town 1 and uses a teleporter exactly k times from there. Help the king by writing a program that answers this question."
p02685,"there are n blocks arranged in a row. let us paint these blocks. we will consider two ways to paint the blocks different if and only if there is a block painted in different colors in those two ways. find the number of ways to paint the blocks under the following conditions: for each block, use one of the m colors, color 1 through color m, to paint it. it is not mandatory to use all the colors. there may be at most k pairs of adjacent blocks that are painted in the same color. since the count may be enormous, print it modulo 998244353.","There are n blocks arranged in a row. For each block, use one of the m colors, color 1 through color m, to paint it. There may be at most k pairs of adjacent blocks that are painted in the same color. print it modulo 998244353."
p02687,"atcoder inc. holds a contest every saturday. there are two types of contests called abc and arc, and just one of them is held at a time. the company holds these two types of contests alternately: an arc follows an abc and vice versa. given a string s representing the type of the contest held last week, print the string representing the type of the contest held this week.","Atcoder inc. holds a contest every Saturday. There are two types of contest, abc and arc, and just one of them is held at a time. An arc follows an abc, and vice versa, so print the string representing the type of the contest held this week."
p02688,"n snukes called snuke 1, snuke 2, ..., snuke n live in a town. there are k kinds of snacks sold in this town, called snack 1, snack 2, ..., snack k. the following d_i snukes have snack i: snuke a_{i, 1}, a_{i, 2}, \cdots, a_{i, {d_i}}. takahashi will walk around this town and make mischief on the snukes who have no snacks. how many snukes will fall victim to takahashi's mischief?","Snukes live in a town. Snukes have snacks called snack 1, snack 2, ..., snack k. Takahashi will walk around the town and make mischief on the snukes who have no snacks. How many snukes will fall victim to takahashi's mischief?"
p02689,"there are n observatories in atcoder hill, called obs. 1, obs. 2, ..., obs. n. the elevation of obs. i is h_i. there are also m roads, each connecting two different observatories. road j connects obs. a_j and obs. b_j. obs. i is said to be good when its elevation is higher than those of all observatories that can be reached from obs. i using just one road. note that obs. i is also good when no observatory can be reached from obs. i using just one road. how many good observatories are there?",There are n observatories in atcoder hill. Road j connects obs. a_j and obs. b_j. The elevation of obs. i is higher than those of all observatories that can be reached from obs. I using just one road. Good observatories are found when no observatory can't be reached using just a single road.
p02690,"give a pair of integers (a, b) such that a^5-b^5 = x. it is guaranteed that there exists such a pair for the given integer x.","There is a pair of integers (a, b) such that a^5-b^5 = x. It is guaranteed that there exists such a pair for the given integer x. For example, a/b/5 is a/a/5 for x."
p02691,"you are the top spy of atcoder kingdom. to prevent the stolen secret from being handed to aldebaran kingdom, you have sneaked into the party where the transaction happens. there are n attendees in the party, and they are given attendee numbers from 1 through n. the height of attendee i is a_i. according to an examination beforehand, you know that a pair of attendees satisfying the condition below will make the transaction. the absolute difference of their attendee numbers is equal to the sum of their heights. there are \frac{n(n-1)}{2} ways to choose two from the n attendees and make a pair. among them, how many satisfy the condition above? p.s.: we cannot let you know the secret.","There are n attendees in the party and they are given attendee numbers from 1 through n. The height of each attendee i is a_i. There are two ways to choose two from the n attendees and make a pair, but only one of them satisfies the condition below."
p02692,"there is a game that involves three variables, denoted a, b, and c. as the game progresses, there will be n events where you are asked to make a choice. each of these choices is represented by a string s_i. if s_i is ab, you must add 1 to a or b then subtract 1 from the other; if s_i is ac, you must add 1 to a or c then subtract 1 from the other; if s_i is bc, you must add 1 to b or c then subtract 1 from the other. after each choice, none of a, b, and c should be negative. determine whether it is possible to make n choices under this condition. if it is possible, also give one such way to make the choices.","There is a game that involves three variables, denoted a, b, and c. As the game progresses, there will be n events where you are asked to make a choice. Each of these choices is represented by a string s_i. After each choice, determine whether it is possible to make n choices under this condition."
