index,Final_title,Final_description
p01206,Black Force,"
a dam construction project was designed around an area called black force. the area is surrounded by
mountains and its rugged terrain is said to be very suitable for constructing a dam.
 
however, the project is now almost pushed into cancellation by a strong protest campaign started by the
local residents. your task is to plan out a compromise proposal. in other words, you must find a way to
build a dam with sufficient capacity, without destroying the inhabited area of the residents.
 
the map of black force is given as h &times; w cells (0 &lt; h, w &le; 20). each cell hi, j is a positive integer
representing the height of the place. the dam can be constructed at a connected region surrounded
by higher cells, as long as the region contains neither the outermost cells nor the inhabited area of the
residents. here, a region is said to be connected if one can go between any pair of cells in the region
by following a sequence of left-, right-, top-, or bottom-adjacent cells without leaving the region. the
constructed dam can store water up to the height of the lowest surrounding cell. the capacity of the dam
is the maximum volume of water it can store. water of the depth of 1 poured to a single cell has the
volume of 1.
 
the important thing is that, in the case it is difficult to build a sufficient large dam, it is allowed to
choose (at most) one cell and do groundwork to increase the height of the cell by 1 unit. unfortunately,
considering the protest campaign, groundwork of larger scale is impossible. needless to say, you cannot
do the groundwork at the inhabited cell.
 
given the map, the required capacity, and the list of cells inhabited, please determine whether it is possible
to construct a dam.
 

"
p01207,Hit and Blow,"
hit and blow is a popular code-breaking game played by two people, one codemaker and one
codebreaker. the objective of this game is that the codebreaker guesses correctly a secret
number the codemaker makes in his or her mind.
 
the game is played as follows. the codemaker first chooses a secret number that consists of
four different digits, which may contain a leading zero. next, the codebreaker makes the first
attempt to guess the secret number. the guessed number needs to be legal (i.e. consist of four
different digits). the codemaker then tells the numbers of hits and blows to the codebreaker.
hits are the matching digits on their right positions, and blows are those on different positions.
for example, if the secret number is 4321 and the guessed is 2401, there is one hit and two blows
where 1 is a hit and 2 and 4 are blows. after being told, the codebreaker makes the second
attempt, then the codemaker tells the numbers of hits and blows, then the codebreaker makes
the third attempt, and so forth. the game ends when the codebreaker gives the correct number.
 
your task in this problem is to write a program that determines, given the situation, whether
the codebreaker can logically guess the secret number within the next two attempts. your
program will be given the four-digit numbers the codebreaker has guessed, and the responses
the codemaker has made to those numbers, and then should make output according to the
following rules:
  if only one secret number is possible, print the secret number;  if more than one secret number is possible, but there are one or more critical numbers,
      print the smallest one;  otherwise, print “????” (four question symbols). 
here, critical numbers mean those such that, after being given the number of hits and blows for
them on the next attempt, the codebreaker can determine the secret number uniquely.

 

"
p01208,Turn Left,"
taro got a driver’s license with a great effort in his campus days, but unfortunately there had
been no opportunities for him to drive. he ended up obtaining a gold license.
 
one day, he and his friends made a plan to go on a trip to kyoto with you. at the end of their
meeting, they agreed to go around by car, but there was a big problem; none of his friends was
able to drive a car. thus he had no choice but to become the driver.
 
the day of our departure has come. he is going to drive but would never turn to the right for
fear of crossing an opposite lane (note that cars keep left in japan). furthermore, he cannot
u-turn for the lack of his technique. the car is equipped with a car navigation system, but the
system cannot search for a route without right turns. so he asked to you: “i hate right turns,
so, could you write a program to find the shortest left-turn-only route to the destination, using
the road map taken from this navigation system?”
 

"
p01209,!,"
you are one of icpc participants and in charge of developing a library for multiprecision numbers
and radix conversion. you have just finished writing the code, so next you have to test if it
works correctly. you decided to write a simple, well-known factorial function for this purpose:
 
your task is to write a program that shows the number of trailing zeros when you compute m!
in base n, given n and m.
 

"
p01210,Speed,"
do you know speed? it is one of popular card games, in which two players compete how quick
they can move their cards to tables.
 
to play speed, two players sit face-to-face first. each player has a deck and a tableau assigned
for him, and between them are two tables to make a pile on, one in left and one in right. a
tableau can afford up to only four cards.
 
there are some simple rules to carry on the game:
  a player is allowed to move a card from his own tableau onto a pile, only when the rank
   of the moved card is a neighbor of that of the card on top of the pile. for example a and
   2, 4 and 3 are neighbors. a and k are also neighbors in this game.  he is also allowed to draw a card from the deck and put it on a vacant area of the tableau.  if both players attempt to move cards on the same table at the same time, only the faster
   player can put a card on the table. the other player cannot move his card to the pile (as
   it is no longer a neighbor of the top card), and has to bring it back to his tableau. 
first each player draws four cards from his deck, and places them face on top on the tableau.
in case he does not have enough cards to fill out the tableau, simply draw as many as possible.
the game starts by drawing one more card from the deck and placing it on the tables on their
right simultaneously. if the deck is already empty, he can move an arbitrary card on his tableau
to the table.
 
then they continue performing their actions according to the rule described above until both
of them come to a deadend, that is, have no way to move cards. every time a deadend occurs,
they start over from each drawing a card (or taking a card from his or her tableau) and placing
on his or her right table, regardless of its face. the player who has run out of his card first is
the winner of the game.
 
mr. james a. games is so addicted in this simple game, and decided to develop robots that
plays it. he has just completed designing the robots and their program, but is not sure if they
work well, as the design is so complicated. so he asked you, a friend of his, to write a program
that simulates the robots.
 
the algorithm for the robots is designed as follows:
  each robot is always given one or more cards.  in the real game of speed, the players first classify cards by their colors to enable
        them to easily figure out which player put the card. but this step is skipped in this
        simulation.  the game uses only one card set split into two. in other words, there appears at most
        one card with the same face in the two decks given to the robots. 
    
  if there are not enough cards in its deck, draw all cards in the deck. 
    
  if there remains one or more cards in the deck, a robot draws the top one and puts it
        onto the right table. otherwise, the robot takes the rightmost card from its tableau. 
    
  when a robot took a card from its tableau, it draws a card (if possible) from the deck
        to fill the vacant position after the card taken is put onto a table.  it takes some amount of time to move cards. when a robot completes putting a card
        onto a table while another robot is moving to put a card onto the same table, the
        robot in motion has to give up the action immediately and returns the card to its
        original position.  a robot can start moving to put a card on a pile at the same time when the neighbor
        is placed on the top of the pile.  if two robots try to put cards onto the same table at the same moment, only the
        robot moving a card to the left can successfully put the card, due to the position
        settings.  when a robot has multiple candidates in its tableau, it prefers the cards which can
        be placed on the right table to those which cannot. in case there still remain multiple
        choices, the robot prefers the weaker card. 
    
 
 when it comes to a deadend situation, the robots start over from each putting a card to
  the table, then continue moving again according to the algorithm above.
  the robot which has run out the cards wins the game.  when both robots run out the cards at the same moment, the robot which moved
        the stronger card in the last move wins. 
    
 
the strength among the cards is determined by their ranks, then by the suits. the ranks are
strong in the following order: a &gt; k &gt; q &gt; j &gt; x (10) &gt; 9 &gt; . . . &gt; 3 &gt; 2. the suits are strong
in the following order: s (spades) &gt; h (hearts) &gt; d (diamonds) &gt; c (cloves). in other words,
sa is the strongest and c2 is the weakest.
 
the robots require the following amount of time to complete each action:
  300 milliseconds to draw a card to the tableau,  500 milliseconds to move a card to the right table,  700 milliseconds to move a card to the left table, and  500 milliseconds to return a card to its original position. 
cancelling an action always takes the constant time of 500ms, regardless of the progress of
the action being cancelled. this time is counted from the exact moment when the action is
interrupted, not the beginning time of the action.
 
you may assume that these robots are well-synchronized, i.e., there is no clock skew between
them.
 
for example, suppose robot a is given the deck “s3 s5 s8 s9 s2” and robot b is given the deck
“h7 h3 h4”, then the playing will be like the description below. note that, in the description,
“the table a” (resp. “the table b”) denotes the right table for robot a (resp. robot b).
  robot a draws four cards s3, s5, s8, and s9 to its tableau from right to left. robot b
  draws all the three cards h7, h3, and h4.  then the two robots synchronize for the game start. let this moment be 0ms.  at the same moment, robot a starts moving s2 to the table a from the deck, and robot
  b starts moving h7 to the table b from the tableau.  at 500ms, the both robots complete their moving cards. then robot a starts moving s3
  to the table a 1(which requires 500ms), and robot b starts moving h3 also to the table
  a (which requires 700ms).  at 1000ms, robot a completes putting s3 on the table a. robot b is interrupted its move
  and starts returning h3 to the tableau (which requires 500ms). at the same time robot
  a starts moving s8 to the table b (which requires 700ms).  at 1500ms, robot b completes returning h3 and starts moving h4 to the table a (which
  requires 700ms).  at 1700ms, robot a completes putting s8 and starts moving s9 to the table b.  at 2200ms, robot b completes putting h4 and starts moving h3 to the table a.  at 2400ms, robot a completes putting s9 and starts moving s5 to the table a.  at 2900ms, the both robots are to complete putting the cards on the table a. since robot
  b is moving the card to the table left to it, robot b completes putting h3. robot a is
  interrupted.  now robot b has finished moving all the dealt cards, so robot b wins this game. 


"
p01211,Spirograph,"
some of you might have seen instruments like the figure below.
 figure 1: spirograph 
there are a fixed circle (indicated by a in the figure) and a smaller interior circle with some
pinholes (indicated by b). by putting a pen point through one of the pinholes and then rolling
the circle b without slipping around the inside of the circle a, we can draw curves as illustrated
below. such curves are called hypotrochoids.
 figure 2: an example hypotrochoid 
your task is to write a program that calculates the length of hypotrochoid, given the radius of
the fixed circle a, the radius of the interior circle b, and the distance between the b’s centroid and the used pinhole.
 

"
p01212,Mysterious Dungeons,"
the kingdom of aqua canora mystica is a very affluent and peaceful country, but around the
kingdom, there are many evil monsters that kill people. so the king gave an order to you to kill
the master monster.
 
you came to the dungeon where the monster lived. the dungeon consists of a grid of square
cells. you explored the dungeon moving up, down, left and right. you finally found, fought
against, and killed the monster.
 
now, you are going to get out of the dungeon and return home. however, you found strange
carpets and big rocks are placed in the dungeon, which were not there until you killed the
monster. they are caused by the final magic the monster cast just before its death! every rock
occupies one whole cell, and you cannot go through that cell. also, each carpet covers exactly
one cell. each rock is labeled by an uppercase letter and each carpet by a lowercase. some of
the rocks and carpets may have the same label.
 
while going around in the dungeon, you observed the following behaviors. when you enter
into the cell covered by a carpet, all the rocks labeled with the corresponding letter (e.g., the
rocks with ‘a’ for the carpets with ‘a’) disappear. after the disappearance, you can enter the
cells where the rocks disappeared, but if you enter the same carpet cell again or another carpet
cell with the same label, the rocks revive and prevent your entrance again. after the revival,
you have to move on the corresponding carpet cell again in order to have those rocks disappear
again.
 
can you exit from the dungeon? if you can, how quickly can you exit? your task is to write
a program that determines whether you can exit the dungeon, and computes the minimum
required time.
 

"
p01213,Repeated Subsequences,"
you are a treasure hunter traveling around the world. finally, you’ve got an ancient text
indicating the place where the treasure was hidden. the ancient text looks like a meaningless
string of characters at first glance. actually, the secret place is embedded as the longest repeated
subsequence of the text.
 
well, then, what is the longest repeated subsequence of a string? first, you split the given string
s into two parts f and r. then, you take the longest common subsequence l of f and r
(longest string l that is a subsequence of both f and r). since there are many possible ways
to split s into two parts, there are many possible l's. the longest repeated subsequence is the
longest one among them. for example, the longest repeated subsequence of “abcabcabab”
is “abab”, which is obtained when you split “abcabcabab” into “abcabc” and “abab”.
 
now your task is clear. please find the longest repeated subsequence and get the hidden treasure!
 

"
p01214,Petoris,"
you are playing a puzzle game named petoris. it is played with a board divided into square
grids and square tiles each of which fits to a single grid.
 
in each step of the game, you have a board partially filled with tiles. you also have a block
consisting of several tiles. you are to place this block somewhere on the board or to discard it,
under the following restrictions on placement:
  the block can be rotated, but cannot be divided nor flipped;  no tiles of the block can collide with any tiles existing on the board; and  all the tiles of the block need to be placed inside the board. 
your task is to write a program to find the maximum score you can earn in this step. here, the
score is the number of the horizontal lines fully filled with tiles after the block is placed, or -1
in case of discard.
 

"
p01215,Pythagoraslope,"
alice, your girlfriend, is a student at an art school. she is in the final year, and now working
hard to build a facture for fulfilling the requirement to graduate. her work is a large pinball
with many straight slopes. before starting to build, she has made several plans, but is unsure if
they work as expected. so she asked you, a professional programmer, for help.
 
you have modeled this situation by a two dimensional plane with some line segments on it. in
this model, there is gravitation downward, i.e., in the decreasing direction of y-coordinate. your
task is to write a program that simulates the pinball, and compute the last position where the
ball crosses the x-axis.
 
you may assume coefficient of restitution between the slopes and the ball is 0, i.e., when the ball
collides a slope, it instantly loses the velocity component orthogonal to the slope. and since her
pinball is so large, you may also assume that the volume of the ball is negligible.

 

"
p01216,Election,"
giselle has just made a vote for a national election. in her country, members of the legislature are elected
by a system called mixed member proportional representation (mmp). basically, half the members are
elected from constituencies, and the other half are elected from party lists by proportional representation.
each voter has two votes, one for a constituency representative and one for a party.
 
in each constituency, the representative is chosen by a single-winner voting system called the first-past-
the-post. this system is very simple: the candidate who earns the highest number of votes wins the seat.
there are constituencies equal to half the number of seats, and they are determined in accordance with
geographical areas.
 
each party is allocated the seats according to the percentage of votes cast for that party. only parties that
have either at least five percent of the total party votes or at least three constituency seats are eligible for
the seats; the parties that satisfy neither of these prerequisites are excluded on the following procedure.
the number of seats for each eligible party is determined based on the value given by:
 
note that the multiplier in the above formula is the number of overall seats, not party-list seats (i.e. not
half the members). each party receives the seats equal to the integer part of this value. there usually
remain some seats, and they are allocated to the parties in decreasing order of the fraction parts, where
each party receive at most one extra seat. if two or more parties have the same fraction parts, the party
that gained a greater number of votes gets higher preference.
 
the number of seats allocated by the above procedure counts both the constituency seats and the party-
list seats. each party is therefore entitled to add members from the list just as many as the number of
its allocated seats minus the number of its constituency seats. those members are chosen in the order
predetermined by the party. if some candidates in the party list already have the seats for constituency
representatives (this happens because each constituency candidate is allowed to also be included in the
list), they are not counted and the next candidates down are added instead.
 
now, let us take an example. suppose three parties a, b, and c are competing for eight seats, where the
party a has earned one constituency seat and 9,000 party votes, the party b one and 8,000, and the party
c two and 3,000. the total number of party votes is 9000 + 8000 + 3000 = 20000, thus the five-percent
threshold is 20000 × (5/100) = 1000. from this threshold, all parties are eligible to be allocated the seats.
the formula gives (8 &times; 9000)/20000 = 3.6, (8 &times; 8000)/20000 = 3.2, and (8 &times; 3000)/20000 = 1.2, so
the parties a, b, and c receive three seats, three, and one respectively. there is one remaining seat, and
it goes to the party a for the largest fraction part 0.6 ( = 3.6 − 3). in conclusion, the party a gains four
seats in total, and since this party won one constituency seat, there are three more members to be chosen
from the party a’s list. similarly, there are two more members from the party b’s list. on the other hand,
the party c receives only one seat despite winning in two constituencies. so no members will be chosen
from the party c’s list and one overhang seat occurs. the total number of elected members therefore will
be nine. this example corresponds to the first case of the sample input and output.
 
you are required to write a program that determines which candidates win the seats.
 

"
p01217,Jaggie Spheres,"
let j(n) be a three-dimensional body that
  is a union of unit cubes whose all vertices lie on integer coordinates,  contains all points that are closer than the distance of &radic;n to the origin, and  is the smallest of all such bodies. 
the figure below shows how j(1), j(2), and j(3) look.
 figure 1: jaggie spheres for n = 1, 2, 3 
your task is to calculate how many faces j(n) have. here, we define two square belong to the same face
if they are parallel and share an edge, but don’t if they share just a vertex.

 

"
p01218,Nagashi Soumen,"
mr. natsume, the captain of a baseball club, decided to hold a nagashi-soumen party. he first planned
to put a flume at the arena, and let members stand by the side of the flume to eat soumen. but they are
so weird that they adhere to each special position, and refused to move to the side of the flume. they
requested mr. natsume to have the flumes go through their special positions. as they never changed their
minds easily, mr. natsume tried to rearrange flumes in order to fulfill their requests.
 
as a caretaker of the baseball club, you are to help mr. natsume arrange the flumes. here are the rules
on the arrangement:
  each flume can begin and end at arbitrary points. also it can be curved at any point in any direction,
       but cannot have any branches nor merge with another flume;  each flume needs to be placed so that its height strictly decreases as it goes, otherwise soumen does
       not flow;  mr. natsume cannot make more than k flumes since he has only k machines for water-sliders; and  needless to say, flumes must go through all the special positions so that every member can eat
       soumen. 
in addition, to save the cost, you want to arrange flumes so that the total length is as small as possible.
what is the minimum total length of all flumes?
 

"
p01219,Private Teacher,"
you are working as a private teacher. since you are giving lessons to many pupils, you are very busy,
especially during examination seasons. this season is no exception in that regard.
 
you know days of the week convenient for each pupil, and also know how many lessons you have to give
to him or her. you can give just one lesson only to one pupil on each day. now, there are only a limited
number of weeks left until the end of the examination. can you finish all needed lessons?
 

"
p01220,Triangles,"
there is a group that paints an emblem on the ground to invite aliens every year. you are a member of
this group and you have to paint the emblem this year.
 
the shape of the emblem is described as follows. it is made of n regular triangles whose sides are
equally one unit length long. these triangles are placed so that their centroids coincide, and each of them
is rotated counterclockwise by 360/n degrees with respect to the one over it around its centroid. the
direction of the top triangle is not taken into account.
 
it is believed that emblems have more impact as their n are taken larger. so you want to paint the emblem
of n as large as possible, but you don’t have so much chemicals to paint. your task is to write a program
which outputs the area of the emblem for given n so that you can estimate the amount of the needed
chemicals.
 figure 1: the emblem for n = 2 


"
p01221,finger Programming,"
franklin jenkins is a programmer, but he isn’t good at typing keyboards. so he always uses only ‘f’
and ‘j’ (keys on the home positions of index fingers) for variable names. he insists two characters are
enough to write programs, but naturally his friends don’t agree with him: they say it makes programs too
long.
 
he asked you to show any program can be converted into not so long one with the f-j names. your task
is to answer the shortest length of the program after all variables are renamed into the f-j names, for each
given program.
 
given programs are written in the language specified below.
 
a block (a region enclosed by curly braces: ‘{’ and ‘}’) forms a scope for variables. each scope can have
zero or more scopes inside. the whole program also forms the global scope, which contains all scopes
on the top level (i.e., out of any blocks).
 
each variable belongs to the innermost scope which includes its declaration, and is valid from the decla-
ration to the end of the scope. variables are never redeclared while they are valid, but may be declared
again once they have become invalid. the variables that belong to different scopes are regarded as differ-
ent even if they have the same name. undeclared or other invalid names never appear in expressions.
 
the tokens are defined by the rules shown below. all whitespace characters (spaces, tabs, linefeeds, and
carrige-returns) before, between, and after tokens are ignored.
 
the syntax of the language is defined as follows.
 


program:
     statement-list
statement-list:
     statement
     statement-list statement
statement:
     variable-declaration
     if-statement
     while-statement
     expression-statement
     block-statement
variable-declaration:
      “var” identifier ‘;’
if-statement:
      “if” ‘(’ expression ‘)’ block-statement
while-statement:
      “while” ‘(’ expression ‘)’ block-statement
expression-statement:
      expression ‘;’
block-statement:
      ‘{’ statement-listoptional ‘}’
expression:
      identifier
      number
      expression operator expression


"
p01222,Walk under a Scorching Sun,"
edward r. nelson is visiting a strange town for some task today. this city is built on a two-dimensional
flat ground with several vertical buildings each of which forms a convex polygon when seen from above
on it (that is to say, the buidlings are convex polygon columns). edward needs to move from the point s
to the point t by walking along the roads on the ground. since today the sun is scorching and it is very
hot, he wants to walk in the sunshine as less as possible.
 
your task is to write program that outputs the route whose length in the sunshine is the shortest, given
the information of buildings, roads and the direction of the sun.
 

"
p01223,Saizo,"
    ある国で「サイゾウ」というテレビ番組が流行している．
    この番組は参加者がフィールドアスレチックに挑戦し，
    見事攻略すれば賞金をもらえるというものである．
   
    フィールドアスレチックは高さが異なるブロックを一列に並べて作られていて，
    攻略のためにはいかにして段差を登り降りするかが重要になる
    （図1）．
    この番組に参加することになったあなたの友人は，
    フィールドアスレチックの構造が与えられたときに，
    登らなければならない最大の段差と降りなければならない最大の段差を
    計算するプログラムを書いてほしいと，
    凄腕プログラマーであるあなたに依頼してきた．
   

  
    
	
	  
	    <img src=""https://judgeapi.u-aizu.ac.jp/resources/images/image2_athletic""
		 alt=""アスレチックの構造の例（入力例の最初のデータセット）．"">
	  
	
	
	  図1: アスレチックの構造の例（入力例の最初のデータセット）．
	
    


  "
p01224,Perfect Number,"
    ある整数 n に対し，その数自身を除く約数の和を s
    とする．
    n = s のとき
    n は完全数 (perfect number)，
    n &gt; s のとき
    n は不足数 (deficient number)，
    n &lt; s のとき
    n は過剰数 (abundant number) と呼ばれる．
    与えられた整数が，完全数・不足数・過剰数のどれであるかを
    判定するプログラムを作成せよ．
   
    プログラムの実行時間が制限時間を越えないように注意すること．
   

  "
p01225,Rummy,"
    あなたの友達は最近 ut-rummy というカードゲームを思いついた．
   
    このゲームで使うカードには赤・緑・青のいずれかの色と1から9までのいずれかの番号が
    つけられている．
    このゲームのプレイヤーはそれぞれ9枚の手札を持ち，
    自分のターンに手札から1枚選んで捨てて，
    代わりに山札から1枚引いてくるということを繰り返す．
    このように順番にターンを進めていき，
    最初に手持ちのカードに3枚ずつ3つの「セット」を作ったプレイヤーが勝ちとなる．
    セットとは，同じ色の3枚のカードからなる組で，すべて同じ数を持っているか
    連番をなしているもののことを言う．
    連番に関しては，番号の巡回は認められない．
    例えば，7, 8, 9は連番であるが 9, 1, 2は連番ではない．
   
    あなたの友達はこのゲームをコンピュータゲームとして売り出すという計画を立てて，
    その一環としてあなたに勝利条件の判定部分を作成して欲しいと頼んできた．
    あなたの仕事は，手札が勝利条件を満たしているかどうかを判定する
    プログラムを書くことである．
   

  "
p01226,Battle Town,"
    あなたは友人たちとゲームを開発することにした．
    ゲームのタイトルは「バトルタウン」．
    戦車による市街戦をテーマにしたゲームだ．
    ゲーム開発の第一歩として，次のようなプロトタイプを開発することにした．
   
    このプロトタイプでは，登場する戦車はプレイヤーの戦車のみであり，
    敵の戦車は登場しない．
    プレイヤーの戦車はプレイヤーの入力に従ってマップ上で様々な動作をする．
    以下に，戦車の動作に関する仕様を述べる．
   
    マップの構成要素は表1の通りである．
    戦車が移動できるのはマップ内の平地の上だけである．
   
    プレイヤーの入力は文字の列で与えられる．
    各文字に対応する動作は表2の通りである．
   
    砲弾はレンガの壁あるいは鉄の壁にぶつかるか，マップの外に出るまで直進する．
    レンガの壁にぶつかった場合は，砲弾は消滅し，レンガの壁は平地に変化する．
    鉄の壁にぶつかった場合は，砲弾は消滅するが，鉄の壁は変化しない．
    マップの外に出たときは砲弾はそのまま消滅する．
   
    あなたの仕事は，初期マップとプレイヤーの入力操作列が与えられたときに，
    最終的なマップの状態を出力するプログラムを作成することである．
   

  "
p01227,Country Road,"
    ある過疎地域での話である．
    この地域ではカントリーロードと呼ばれるまっすぐな道に沿って，
    家がまばらに建っている．
    今までこの地域には電気が通っていなかったのだが，
    今回政府からいくつかの発電機が与えられることになった．
    発電機は好きなところに設置できるが，
    家に電気が供給されるにはどれかの発電機に電線を介してつながっていなければならず，
    電線には長さに比例するコストが発生する．
    地域で唯一の技術系公務員であるあなたの仕事は，
    すべての家に電気が供給されるという条件の下で，
    できるだけ電線の長さの総計が短くなるような発電機
    および電線の配置を求めることである．
    なお，発電機の容量は十分に大きいので，
    いくらでも多くの家に電気を供給することができるものとする．
   
    サンプル入力の1番目のデータセットを図2に示す．
    この問題に対する最適な配置を与えるには，
    図のように x = 20 と x = 80 の位置に発電機を配置し，
    それぞれ図中のグレーで示した位置に電線を引けばよい．
   


    
	
	  
	    <img src=""https://judgeapi.u-aizu.ac.jp/resources/images/image2_road""
		 alt=""発電機と電線の配置の例（入力例の最初のデータセット）．"">
	  
	
	
	  図2: 発電機と電線の配置の例（入力例の最初のデータセット）．
	
    


  "
p01228,Rhythm Machine,"
    advanced computer music社（acm社）は，
    あらかじめプログラムされたリズム通りに音楽を演奏する
    リズムマシーンを販売していた．
    ある時，acm社は新しいリズムマシーンを開発して売り出そうとしていた．
    acm社の旧製品は同時に1つの音しか鳴らすことができなかったのに対し，
    新製品では最大で8つの音を同時に鳴らせるようになるというのが
    一番の目玉機能であった．
    今まで複数の旧製品を利用して演奏する必要のあった曲が
    新製品1台で済むようになるので，
    acm社は新製品への移行を推進させるために，
    複数の旧製品向けのリズムパターンを1つの新製品向けのリズムパターンに
    変換するプログラムを作ることにした．
   
    acm社のリズムマシーンでは，同時にどの音を鳴らすかを2桁の16進数で表現する．
    acm社のリズムマシーンは8つの異なる音を鳴らすことが可能で，
    それぞれの音には0から7の番号が割り当てられている．
    あるタイミングにおいて，音 i (0 &le; i &lt; 8)
    を鳴らす場合を si = 1，
    鳴らさない場合を si = 0 とする．
    このとき，それぞれの音を同時に鳴らしたような和音を
    
    という値で表し，
    この値を2桁の16進数表記で表した「和音表現」
    がリズムパターンの中で用いられる（16進数の英字は大文字を用いる）．
    例えば，音0, 6, 7 を同時に鳴らすような和音は
    s = 20 + 26 + 27
    = c1(16)
    となるから &ldquo;c1&rdquo; と表現され，
    また何も鳴らさないような「和音」は 
    &ldquo;00&rdquo; と表現される．
   
    リズムパターンは，上記のような和音表現を1つ以上並べたものとして与えられる．
    あるリズムパターン文字列は，1小節内の演奏パターンを示している．
    それぞれの和音を鳴らすタイミングを小節内の相対位置
    t (0 &le; t &lt; 1)
    で表現することにする．
    k 個の和音表現からなるリズムパターン文字列は，
    小節を k 等分しそれぞれの和音を順に
    t = 0/k, 1/k, ...,
    (k−1)/k のタイミングで演奏するような
    リズムパターンを表している．
    例えば，リズムパターン &ldquo;01000003&rdquo; は，
    t = 0/4 のタイミングで音0を演奏し，
    t = 3/4 のタイミングで音0, 1を演奏することを表す．
    また，リズムパターン &ldquo;00&rdquo;
    は小節内で何も音を鳴らさないことを表す
    （リズムパターンには和音表現が1つ以上必要であることに注意せよ）．
   
    旧製品は同時に1つの音しか鳴らせないため，
    旧製品向けのリズムパターン文字列内には
    &ldquo;00&rdquo;,
    &ldquo;01&rdquo;,
    &ldquo;02&rdquo;,
    &ldquo;04&rdquo;,
    &ldquo;08&rdquo;,
    &ldquo;10&rdquo;,
    &ldquo;20&rdquo;,
    &ldquo;40&rdquo;,
    &ldquo;80&rdquo;
    のいずれかの和音表現しか現れない．
    旧製品向けのリズムパターンを n 個
    (1 &le; n &le; 8) 受け取り，
    それらのリズムパターンを同時に演奏するような
    新製品向けのリズムパターンを出力するプログラムを書いて欲しい．
   
    与えられる n 個のリズムパターンにおいて，
    まったく同じタイミングで同じ音が演奏されることはないと仮定してよい．
   

  "
p01229,Enegy Transporter,"
    とある研究所で，
    エネルギー伝達用の媒体の開発をしていた．
    この媒体は図3に示すような特殊な物質からなる
    ポリマー構造をなしている．
   
    図の ea で示した部分がこの媒体のもっとも特徴的な部位の
    エナジーアキュムレータ (energy accumulator) である．
    このea基は 1 kj 幅で離散化された多様なエネルギー状態を取ることができる．
    あるea基を励起させると，
    そのea基の&alpha;側に結合している隣接したea基に蓄積されている全エネルギーを
    &beta;側に結合している隣接したea基に移動させるような効果を持つ
    発熱反応が引き起こされる（図4）．
    この反応の際，励起されるea基のエネルギーが 1 kj 消費される．
    なお，ポリマーの両端に位置するea基やエネルギー状態が 0 kj になっている
    ea基に対しては励起反応は発生しないこと，
    およびea基は十分に大きなエネルギーを蓄えることが可能であることが知られている．
   
    この性質を利用することでエネルギーの伝達を可能にしようと考えていたのだが，
    エネルギーを効率よく伝達するには各ea基を励起させる順番が重要であることに
    研究者たちは気がついたのである．
   
    幸い，励起させる順番や回数は任意に制御できるのだが，
    彼らには最適な励起手順がわからない．
    そこで彼らの発想の足がかりとして，
    初期状態のエネルギー分布に対して
    最右ea基（&beta;末端からもっとも近いea基）
    に蓄えられうる最大のエネルギー量を計算してもらいたい．
   

  "
p01230,Can I go there?,"
    あるところに，日本各地をまわりながら商売をする社長がいた．
    彼はある日，不思議な切符を手に入れた．
    その切符を使うと，なんと目的地までの距離によらず電車の運賃が無料になるという．
    ただし，
    現在の駅から隣接する駅へ移動するのを1ステップと数えたときに，
    移動するステップ数がちょうど切符に書かれた数と等しくならないと
    追加料金を取られてしまう．
    ある区間をただちに折り返すような移動は禁止されているが，
    既に訪れた駅や区間を複数回通ること自体は許される．
    たとえば，駅1・駅2・駅1と移動することはできないが，
    駅1・駅2・駅3・駅1・駅2のような移動は問題ない．
    また，最終的に目的地に到着するならば，出発地や目的地も何度でも通ってよい．
   
    社長はさっそくこの切符を次の目的地に行くために使ってみようと考えた．
    しかし路線図は入り組んでいるため，簡単には経路が定まらない．
    あなたの仕事は，社長に代わって目的地に無料で到達できるかどうかを
    判定するプログラムを書くことである．
   
    駅は 1 から n までの番号が振られており，
    出発地の駅は 1，目的地の駅は n と決まっている．
    路線図は2つの駅を結ぶ区間の列によって与えられる．
    区間はどちらの方向にも通行することができる．
    同じ駅同士を結ぶような区間は存在しないことと，
    ある駅の対を結ぶ区間はたかだか1つであることが保証されている．
   

  "
